reviewer_id,listing_id,item_factor_0,item_factor_1,item_factor_2,item_factor_3,item_factor_4,item_factor_5,item_factor_6,item_factor_7,item_factor_8,item_factor_9
81387,{14083824},,,,,,,,,,
82378,"{24002101, 5348703}",,,,,,,,,,
85976,{1622505},,,,,,,,,,
86761,{14639095},,,,,,,,,,
88631,{756267},,,,,,,,,,
90008,{10459862},,,,,,,,,,
90085,{2488042},,,,,,,,,,
90677,{11380963},,,,,,,,,,
91474,{56334},,,,,,,,,,
91842,{29494102},,,,,,,,,,
92104,{17944165},,,,,,,,,,
92521,{21248885},,,,,,,,,,
92845,"{11381088, 11642282, 7054222, 12995321, 30687199, 2129215}",,,,,,,,,,
93188,{20610905},,,,,,,,,,
93562,{5889741},,,,,,,,,,
95607,{14161622},,,,,,,,,,
96117,{20588444},,,,,,,,,,
96240,{20428354},,,,,,,,,,
96296,{21127335},,,,,,,,,,
97484,{5897641},,,,,,,,,,
97808,{2868366},,,,,,,,,,
99105,{15321045},,,,,,,,,,
99266,{35077950},,,,,,,,,,
99370,{294281},,,,,,,,,,
106702,{241510},,,,,,,,,,
106858,{12703293},,,,,,,,,,
109243,{26309079},,,,,,,,,,
110097,{10325057},,,,,,,,,,
110148,{6531247},,,,,,,,,,
110249,{1508829},,,,,,,,,,
110439,{24704585},,,,,,,,,,
113227,{369145},,,,,,,,,,
113326,{22300531},,,,,,,,,,
113566,{7311328},,,,,,,,,,
113739,{3844690},,,,,,,,,,
114395,{241510},,,,,,,,,,
115458,{872345},,,,,,,,,,
115607,{1302185},,,,,,,,,,
115952,{24609883},,,,,,,,,,
117349,{5897641},,,,,,,,,,
118138,{10814989},,,,,,,,,,
119342,"{294281, 16412994, 35818699, 31634142}",,,,,,,,,,
120688,{15154001},,,,,,,,,,
120911,{15310627},,,,,,,,,,
121148,{19115460},,,,,,,,,,
124631,{16280294},,,,,,,,,,
127819,{1101652},,,,,,,,,,
128979,"{12536372, 5827998}",,,,,,,,,,
129918,{6518372},,,,,,,,,,
130126,"{27970365, 28626926}",,,,,,,,,,
130195,{21758153},,,,,,,,,,
130592,"{34287465, 8312028}",,,,,,,,,,
132391,{7319075},,,,,,,,,,
133629,"{11999851, 7683535}",,,,,,,,,,
133976,{6117032},,,,,,,,,,
134408,{9567575},,,,,,,,,,
134962,"{17831305, 16460492}",,,,,,,,,,
136212,{28097937},,,,,,,,,,
137334,{16524568},,,,,,,,,,
138185,{33111805},,,,,,,,,,
139211,"{19107598, 4541183}",,,,,,,,,,
142682,{41603084},,,,,,,,,,
142937,{21198261},,,,,,,,,,
143599,{25972498},,,,,,,,,,
144553,{27561736},,,,,,,,,,
145085,{14492766},,,,,,,,,,
146754,{2357514},,,,,,,,,,
147782,{648183},,,,,,,,,,
147857,{18755310},,,,,,,,,,
148005,{35082329},,,,,,,,,,
148883,{36001391},,,,,,,,,,
151228,"{16526824, 8909442}",,,,,,,,,,
153039,{369145},,,,,,,,,,
153940,{30687199},,,,,,,,,,
155200,{37519358},,,,,,,,,,
155246,{12839857},,,,,,,,,,
155440,{12536372},,,,,,,,,,
155456,"{20005185, 23209506}",,,,,,,,,,
157740,{15389076},,,,,,,,,,
157795,{8609210},,,,,,,,,,
158465,{2121839},,,,,,,,,,
158897,{21556992},,,,,,,,,,
164198,{294281},,,,,,,,,,
165075,{29210089},,,,,,,,,,
165209,"{3753251, 9097877, 10367479}",,,,,,,,,,
165502,"{12475063, 18395154, 26056791, 29766008, 12947194}",,,,,,,,,,
167365,{15310627},,,,,,,,,,
167418,{4990392},,,,,,,,,,
168783,{37907711},,,,,,,,,,
169339,{21287064},,,,,,,,,,
169866,{36817766},,,,,,,,,,
169967,{10030323},,,,,,,,,,
170009,{16295158},,,,,,,,,,
172024,{9464059},,,,,,,,,,
173493,{16693418},,,,,,,,,,
175717,{19366100},,,,,,,,,,
175868,{14248210},,,,,,,,,,
175962,{19417657},,,,,,,,,,
177032,{10367479},,,,,,,,,,
180855,{18062352},,,,,,,,,,
181341,{9901369},,,,,,,,,,
181356,{11875596},,,,,,,,,,
181667,{2357514},,,,,,,,,,
182728,{10819460},,,,,,,,,,
182962,{6993627},,,,,,,,,,
184619,{31909656},,,,,,,,,,
185329,"{16578060, 2868366}",,,,,,,,,,
186425,{294281},,,,,,,,,,
187284,{20794954},,,,,,,,,,
188085,{36817766},,,,,,,,,,
190083,{7042831},,,,,,,,,,
190249,{3839469},,,,,,,,,,
191341,{15275982},,,,,,,,,,
192856,{15895531},,,,,,,,,,
194017,{7054222},,,,,,,,,,
194220,{22092656},,,,,,,,,,
194345,{12162272},,,,,,,,,,
194905,{37506711},,,,,,,,,,
195714,{22557532},,,,,,,,,,
196948,{7830009},,,,,,,,,,
198264,{16936661},,,,,,,,,,
200192,{15275982},,,,,,,,,,
200206,{16578060},,,,,,,,,,
200230,{3096385},,,,,,,,,,
200982,"{12367245, 36817766}",,,,,,,,,,
201659,{29089948},,,,,,,,,,
201952,"{11522540, 10446567}",,,,,,,,,,
203124,{13591536},,,,,,,,,,
203572,{29210089},,,,,,,,,,
204037,{16886884},,,,,,,,,,
204211,{22133055},,,,,,,,,,
204880,{11865360},,,,,,,,,,
205422,{15310627},,,,,,,,,,
206783,{1887198},,,,,,,,,,
207514,{30369336},,,,,,,,,,
207650,{31044803},,,,,,,,,,
208244,{16483770},,,,,,,,,,
209550,"{10598600, 7959059}",,,,,,,,,,
210284,{9416695},,,,,,,,,,
211156,"{11443262, 6034462}",,,,,,,,,,
211392,{23052272},,,,,,,,,,
212684,{540039},,,,,,,,,,
213208,{17863026},,,,,,,,,,
213511,{16401676},,,,,,,,,,
214363,{15167230},,,,,,,,,,
214907,{34454047},,,,,,,,,,
214945,{20005185},,,,,,,,,,
215696,{30238238},,,,,,,,,,
216329,{4069940},,,,,,,,,,
216682,{819034},,,,,,,,,,
217065,"{8609210, 11245263}",,,,,,,,,,
217800,{33410537},,,,,,,,,,
218760,{32503862},,,,,,,,,,
218830,{4027867},,,,,,,,,,
218930,"{4252548, 16562021, 3144267, 6685809, 3752662}",,,,,,,,,,
219882,"{8180346, 9532788}",,,,,,,,,,
221375,{29494102},,,,,,,,,,
224202,{38092142},,,,,,,,,,
224698,{12687038},,,,,,,,,,
224802,{9513005},,,,,,,,,,
225313,"{33563721, 20769647}",,,,,,,,,,
225376,{12839857},,,,,,,,,,
225515,{4645834},,,,,,,,,,
226511,{16891958},,,,,,,,,,
227908,{2488036},,,,,,,,,,
228124,{10460541},,,,,,,,,,
228864,{2375063},,,,,,,,,,
229340,{9416695},,,,,,,,,,
231151,{25972498},,,,,,,,,,
231868,{9927724},,,,,,,,,,
232211,{16407773},,,,,,,,,,
232485,{5494971},,,,,,,,,,
232825,{16422291},,,,,,,,,,
232994,{5665639},,,,,,,,,,
234989,{16140165},,,,,,,,,,
235563,{29526045},,,,,,,,,,
236197,{19093302},,,,,,,,,,
236795,{12784439},,,,,,,,,,
237735,{11411739},,,,,,,,,,
239775,{5355795},,,,,,,,,,
240423,{23934649},,,,,,,,,,
241167,{2357514},,,,,,,,,,
242373,"{22140480, 23702410}",,,,,,,,,,
243123,{21818868},,,,,,,,,,
243688,{34530939},,,,,,,,,,
245860,{33351065},,,,,,,,,,
247391,{12162272},,,,,,,,,,
248223,{24932028},,,,,,,,,,
249265,"{29249890, 33111884}",,,,,,,,,,
249361,{8038199},,,,,,,,,,
249988,{35786763},,,,,,,,,,
251558,{4613432},,,,,,,,,,
251582,{540039},,,,,,,,,,
252551,{14515500},,,,,,,,,,
252797,{6100964},,,,,,,,,,
252957,{21820005},,,,,,,,,,
253093,{38789090},,,,,,,,,,
253157,{29454180},,,,,,,,,,
256403,"{35818699, 19251396}",,,,,,,,,,
257329,"{17798496, 17813122}",,,,,,,,,,
258610,{28761398},0.023356326803663723,0.03285872967272668,-0.008088587431584922,-0.08208656269832405,0.07891521306403594,-0.04725818472340848,-0.007154724056919025,-0.028301991461291188,0.003553202845560798,0.06241390627226328
259706,{18395154},,,,,,,,,,
260536,{17831362},,,,,,,,,,
260755,{540039},,,,,,,,,,
261078,{8313660},,,,,,,,,,
261348,{33112617},,,,,,,,,,
263877,{7054222},0.06035272975824131,-0.005093734646472066,-0.1039711089946935,0.15900050299964158,0.003716085591987211,-0.03570373611051442,0.1550148085630082,0.20684417369834418,-0.029237259315998673,0.0158182004360494
263982,"{12934345, 6405194, 1647014}",,,,,,,,,,
264026,{16231741},,,,,,,,,,
264261,{2964130},,,,,,,,,,
269528,"{22561172, 18674998}",,,,,,,,,,
269974,{14083824},,,,,,,,,,
271104,{12995321},,,,,,,,,,
274455,"{31627432, 22254514}",,,,,,,,,,
274719,{9828881},,,,,,,,,,
275612,{28514483},,,,,,,,,,
275744,{17488732},,,,,,,,,,
275837,{22319714},-0.06584701098669136,0.014213720079057308,0.16920393858752134,-0.0417756090734985,-0.0002654113728556689,0.16166543957523602,0.0736848672054966,-0.028212344808573462,-0.0770398315966042,-0.053350179878762845
276446,{7486716},,,,,,,,,,
277635,{9802857},,,,,,,,,,
277853,{9260193},,,,,,,,,,
277862,{33477295},,,,,,,,,,
278488,"{12998449, 21305609}",,,,,,,,,,
279894,{7959059},,,,,,,,,,
280116,{20234954},,,,,,,,,,
280585,{7054222},-0.05605005007943237,-0.0492509974271822,0.058591216976292604,0.105391835030867,0.09328398541374318,-0.01561181759834035,-0.08095433057419758,0.07041043305744922,-0.17967302081172346,-0.045093161142290006
281659,{9901369},,,,,,,,,,
282066,{4412603},,,,,,,,,,
282768,{241510},,,,,,,,,,
283075,{12211385},,,,,,,,,,
283355,{11747584},,,,,,,,,,
284451,{10460541},,,,,,,,,,
286124,{22051870},,,,,,,,,,
286216,{6023517},,,,,,,,,,
286404,{3863231},,,,,,,,,,
287012,{36104316},,,,,,,,,,
287527,{25821961},,,,,,,,,,
287604,{30561871},,,,,,,,,,
288290,{10510548},,,,,,,,,,
288974,{540039},,,,,,,,,,
289771,{9097877},,,,,,,,,,
289792,{30578016},,,,,,,,,,
290308,{15501491},,,,,,,,,,
290416,{27273077},,,,,,,,,,
290945,{11863888},,,,,,,,,,
291587,{21509015},,,,,,,,,,
291854,{3753251},,,,,,,,,,
292000,{27405538},,,,,,,,,,
292556,{17242369},,,,,,,,,,
294171,{3839469},,,,,,,,,,
294714,{747813},,,,,,,,,,
294924,{25634551},,,,,,,,,,
296664,{26761652},,,,,,,,,,
298367,{17956150},,,,,,,,,,
298524,{2357514},,,,,,,,,,
298651,{19236258},,,,,,,,,,
299152,{27078318},,,,,,,,,,
301869,{7381770},,,,,,,,,,
302720,{24294559},,,,,,,,,,
304524,{20703034},,,,,,,,,,
305093,{29562647},,,,,,,,,,
305564,{6906010},,,,,,,,,,
305605,"{5494971, 11515630}",,,,,,,,,,
305679,{15580911},,,,,,,,,,
306941,{20207839},,,,,,,,,,
307856,{20610549},,,,,,,,,,
308768,{8200542},,,,,,,,,,
309025,{19199981},,,,,,,,,,
309179,"{7282084, 4252548}",,,,,,,,,,
309549,{819034},,,,,,,,,,
310037,{13265306},,,,,,,,,,
310553,{16886884},,,,,,,,,,
312974,{7042831},,,,,,,,,,
314251,{1805143},,,,,,,,,,
314506,{8541582},,,,,,,,,,
314699,{19132856},,,,,,,,,,
314732,{29579393},,,,,,,,,,
314897,"{20141569, 19236258, 12600834, 19280870, 19644394, 16151506, 12600629, 23471003, 20207839}",,,,,,,,,,
314950,"{5797755, 18755310}",,,,,,,,,,
315347,"{3116909, 2960181}",,,,,,,,,,
316387,{4535456},,,,,,,,,,
316415,{540039},,,,,,,,,,
317024,{17545739},,,,,,,,,,
317541,{12998449},,,,,,,,,,
318746,{16773209},,,,,,,,,,
320811,{19231081},,,,,,,,,,
321731,{4360679},,,,,,,,,,
322136,{3753251},,,,,,,,,,
322237,{5889741},,,,,,,,,,
322993,{22557532},,,,,,,,,,
323066,{6221711},,,,,,,,,,
325482,{3877859},,,,,,,,,,
326046,{11612771},,,,,,,,,,
326122,{6339047},,,,,,,,,,
326547,{14081402},,,,,,,,,,
327661,{9786807},,,,,,,,,,
328973,{7143817},,,,,,,,,,
329323,{4616523},,,,,,,,,,
329959,{21541471},,,,,,,,,,
330035,{10531473},,,,,,,,,,
330079,{36359535},,,,,,,,,,
330340,{4108082},,,,,,,,,,
330626,{5540894},,,,,,,,,,
331112,{369145},,,,,,,,,,
331744,"{21758153, 24302260, 21509015}",,,,,,,,,,
332323,{24290316},,,,,,,,,,
332815,{39716900},,,,,,,,,,
333166,"{37030900, 25793757, 8277151}",,,,,,,,,,
333560,{12995321},,,,,,,,,,
333601,{16231661},,,,,,,,,,
333643,"{6431505, 7381770}",,,,,,,,,,
336047,{9097877},,,,,,,,,,
336483,{14673023},,,,,,,,,,
337710,{1078804},,,,,,,,,,
339212,{11875596},,,,,,,,,,
339528,{6426551},,,,,,,,,,
339608,{7843168},,,,,,,,,,
340074,{369145},,,,,,,,,,
340254,{879526},,,,,,,,,,
341618,{16281437},,,,,,,,,,
342378,"{38692545, 35647924}",,,,,,,,,,
342829,{9887900},,,,,,,,,,
342897,{8634722},,,,,,,,,,
343209,{21852940},,,,,,,,,,
345397,{4683314},,,,,,,,,,
349160,{17856170},,,,,,,,,,
350255,{2156372},,,,,,,,,,
350576,{17016908},,,,,,,,,,
352762,{4016869},,,,,,,,,,
353141,{6481052},,,,,,,,,,
354085,"{1024986, 17956150}",,,,,,,,,,
354543,{6099703},,,,,,,,,,
355018,{7655771},,,,,,,,,,
355245,{39547454},,,,,,,,,,
356214,{8779986},,,,,,,,,,
356792,{8277151},,,,,,,,,,
357243,{16354124},,,,,,,,,,
357255,{369145},,,,,,,,,,
357401,{8344754},,,,,,,,,,
358576,{7622220},,,,,,,,,,
359509,{17481717},,,,,,,,,,
359818,{34014701},,,,,,,,,,
360228,{2731054},,,,,,,,,,
360594,{20219567},,,,,,,,,,
360657,{8432015},,,,,,,,,,
360938,{2488042},,,,,,,,,,
361383,{6995482},,,,,,,,,,
361683,{2146015},,,,,,,,,,
361802,{7879020},,,,,,,,,,
362583,{8264110},,,,,,,,,,
363021,{7683535},,,,,,,,,,
364127,{9828881},,,,,,,,,,
364336,{16547346},,,,,,,,,,
364617,{16385749},,,,,,,,,,
365790,{3856693},,,,,,,,,,
366986,{33604275},,,,,,,,,,
368518,{5355795},,,,,,,,,,
369262,{7814843},,,,,,,,,,
369320,"{3140972, 11576431}",,,,,,,,,,
369328,{21941085},,,,,,,,,,
370085,{21831503},,,,,,,,,,
370094,{6605136},,,,,,,,,,
370417,{4541183},,,,,,,,,,
370580,{36092634},,,,,,,,,,
370710,{10814989},,,,,,,,,,
371526,{648183},,,,,,,,,,
371783,{241510},,,,,,,,,,
376573,"{241508, 241510}",,,,,,,,,,
378136,{301247},,,,,,,,,,
378754,{24022931},,,,,,,,,,
379956,{21196912},,,,,,,,,,
380701,{294281},,,,,,,,,,
380778,{4478773},,,,,,,,,,
381173,"{14211027, 10641757}",,,,,,,,,,
382203,{4139205},,,,,,,,,,
382485,{21361120},,,,,,,,,,
383525,{3839469},,,,,,,,,,
383767,{4069940},,,,,,,,,,
384751,{14245740},,,,,,,,,,
387036,{4990815},,,,,,,,,,
387961,{26964529},,,,,,,,,,
388492,{468782},,,,,,,,,,
388608,{6968350},,,,,,,,,,
390147,{16742820},,,,,,,,,,
390938,{9635192},,,,,,,,,,
391072,{5889741},,,,,,,,,,
391766,{14673023},,,,,,,,,,
392003,{14390525},,,,,,,,,,
392039,{1991291},,,,,,,,,,
392689,{22734583},,,,,,,,,,
392735,{20155952},,,,,,,,,,
393954,{14083824},,,,,,,,,,
394313,{746929},,,,,,,,,,
395168,{19645713},,,,,,,,,,
395795,"{16231661, 6221711}",,,,,,,,,,
396068,{241510},,,,,,,,,,
396148,"{9023549, 28791670}",,,,,,,,,,
397598,{5376182},,,,,,,,,,
400551,{12367245},,,,,,,,,,
400686,{5481530},,,,,,,,,,
401323,{16686418},,,,,,,,,,
401722,"{30282012, 22929591}",,,,,,,,,,
406434,{4576362},,,,,,,,,,
407406,{16231715},,,,,,,,,,
408928,{17657314},,,,,,,,,,
409028,{11521661},,,,,,,,,,
410476,{16745292},,,,,,,,,,
412054,{5348881},,,,,,,,,,
413294,{9746208},,,,,,,,,,
413504,{468782},,,,,,,,,,
413908,"{16231627, 468782}",,,,,,,,,,
415588,{33828484},,,,,,,,,,
416430,{7039222},,,,,,,,,,
416575,{9017107},,,,,,,,,,
417601,{8195397},,,,,,,,,,
417733,{5355795},,,,,,,,,,
418046,"{4613432, 32904861}",,,,,,,,,,
422397,{294281},,,,,,,,,,
424524,{4108082},,,,,,,,,,
425098,{71903},,,,,,,,,,
425651,{982909},,,,,,,,,,
425958,"{6141976, 4041554, 6995482}",,,,,,,,,,
426140,{18332965},,,,,,,,,,
428930,{1622505},,,,,,,,,,
428976,{19645713},,,,,,,,,,
429004,{747813},,,,,,,,,,
429486,{21312604},,,,,,,,,,
430187,"{12998449, 13462899}",,,,,,,,,,
431248,"{7486716, 8264717}",,,,,,,,,,
431502,"{22021293, 13967223}",,,,,,,,,,
431975,{2964315},,,,,,,,,,
432907,{8721639},,,,,,,,,,
435303,{12219588},,,,,,,,,,
435382,{11994037},,,,,,,,,,
435563,{922138},,,,,,,,,,
435777,{3340547},,,,,,,,,,
436408,{6426115},,,,,,,,,,
437036,{21556650},,,,,,,,,,
439325,{8264717},,,,,,,,,,
439487,{540039},,,,,,,,,,
440900,{39924114},,,,,,,,,,
441051,{6099703},,,,,,,,,,
441637,{241510},,,,,,,,,,
443186,"{28085233, 11642282, 14935293}",,,,,,,,,,
443534,{8198598},,,,,,,,,,
444783,"{3144267, 29288147, 16412115, 2838555, 6983613}",,,,,,,,,,
446872,{20769647},,,,,,,,,,
447124,{28125905},,,,,,,,,,
447595,{7632462},,,,,,,,,,
447615,{28346676},,,,,,,,,,
447807,{10381460},,,,,,,,,,
448724,{16280294},,,,,,,,,,
449228,"{24720145, 20698050}",,,,,,,,,,
449563,{9506967},,,,,,,,,,
449708,{5376240},,,,,,,,,,
450558,{18452331},,,,,,,,,,
453025,{10531473},,,,,,,,,,
453525,{21014924},,,,,,,,,,
455617,{14332372},,,,,,,,,,
457015,{1622505},,,,,,,,,,
457038,"{5494971, 24434671}",,,,,,,,,,
457099,{6720895},,,,,,,,,,
458287,{15698330},,,,,,,,,,
459534,{6995482},,,,,,,,,,
459802,{8277151},,,,,,,,,,
459924,{29494102},,,,,,,,,,
460129,{241508},,,,,,,,,,
462037,{16482875},,,,,,,,,,
462976,{540039},,,,,,,,,,
463037,"{28505075, 37407702}",,,,,,,,,,
463101,{18780571},,,,,,,,,,
463121,{30243037},,,,,,,,,,
463171,{35788857},,,,,,,,,,
463230,{3753251},,,,,,,,,,
463832,{540039},,,,,,,,,,
464456,{12995321},,,,,,,,,,
466404,{15792808},,,,,,,,,,
466485,{11817134},,,,,,,,,,
467825,{13275737},,,,,,,,,,
468042,{2090132},,,,,,,,,,
469226,{19885525},,,,,,,,,,
469954,{21854683},,,,,,,,,,
470694,{15821020},,,,,,,,,,
472308,{241508},,,,,,,,,,
472395,{18398058},,,,,,,,,,
474164,{28998072},,,,,,,,,,
474348,{9532788},,,,,,,,,,
474467,{12536372},,,,,,,,,,
475108,{5186205},,,,,,,,,,
475298,{33987008},,,,,,,,,,
475795,{9567575},,,,,,,,,,
476373,{24292400},,,,,,,,,,
476527,{24877265},,,,,,,,,,
476785,{28175783},,,,,,,,,,
476846,{6221711},,,,,,,,,,
479342,{9828881},,,,,,,,,,
480248,{6221711},,,,,,,,,,
480425,"{10510548, 9097877}",,,,,,,,,,
484185,{17595630},,,,,,,,,,
484199,"{30578016, 21305609, 3839469}",,,,,,,,,,
484493,{26464626},,,,,,,,,,
485005,{16231627},,,,,,,,,,
485159,{7054234},,,,,,,,,,
485571,{1024986},,,,,,,,,,
485909,{20775760},,,,,,,,,,
486036,{10531473},,,,,,,,,,
488638,{33604718},,,,,,,,,,
488863,{8512566},,,,,,,,,,
489403,{14673023},,,,,,,,,,
489571,{6147142},,,,,,,,,,
490142,{12839857},,,,,,,,,,
494520,{5897641},,,,,,,,,,
495065,"{12463904, 23673101, 2129215}",,,,,,,,,,
495837,{19831199},,,,,,,,,,
496027,{16726237},,,,,,,,,,
496537,{22180317},,,,,,,,,,
498041,{16592588},,,,,,,,,,
498734,{19236258},,,,,,,,,,
499662,{4751362},,,,,,,,,,
500348,"{29746139, 9097877}",,,,,,,,,,
500839,"{8180346, 6147142}",,,,,,,,,,
501159,{7605283},,,,,,,,,,
503437,{294281},,,,,,,,,,
505532,{19236258},,,,,,,,,,
505787,{13462899},,,,,,,,,,
506096,{17123698},,,,,,,,,,
507563,{11522540},,,,,,,,,,
507622,{241508},,,,,,,,,,
508238,{1024986},,,,,,,,,,
508397,{18675202},,,,,,,,,,
508775,{5889741},,,,,,,,,,
508887,{11381088},,,,,,,,,,
509766,{14791185},,,,,,,,,,
510488,"{2090082, 3158949}",,,,,,,,,,
510907,{14245740},,,,,,,,,,
512489,{9097877},,,,,,,,,,
512992,"{14680376, 29579499, 540039}",,,,,,,,,,
513115,{32605119},,,,,,,,,,
513873,{25008022},,,,,,,,,,
514032,{16385749},,,,,,,,,,
515013,{8512566},,,,,,,,,,
515022,{8872326},,,,,,,,,,
516275,{8180346},,,,,,,,,,
516589,{21416331},,,,,,,,,,
516937,{8200542},,,,,,,,,,
517776,{4360902},,,,,,,,,,
518382,{28165463},,,,,,,,,,
518814,{294281},,,,,,,,,,
522051,{10460541},,,,,,,,,,
522065,{6147142},,,,,,,,,,
523051,{24261748},,,,,,,,,,
524834,{12805743},,,,,,,,,,
525390,{35849296},,,,,,,,,,
526480,{23672746},,,,,,,,,,
529241,{540039},,,,,,,,,,
531005,{15230357},,,,,,,,,,
532013,{29081996},,,,,,,,,,
533032,{8036127},,,,,,,,,,
533510,{5902912},,,,,,,,,,
533873,"{20155952, 11801190}",,,,,,,,,,
535962,{31390991},,,,,,,,,,
536141,{8133710},,,,,,,,,,
537087,"{31197264, 34984889}",,,,,,,,,,
537702,{24261748},,,,,,,,,,
538623,{8449010},,,,,,,,,,
539156,"{36819445, 29649325}",,,,,,,,,,
540371,{6581009},,,,,,,,,,
540667,{5256559},,,,,,,,,,
540695,{10398488},,,,,,,,,,
541590,"{18117026, 9485860}",,,,,,,,,,
543789,{31486547},,,,,,,,,,
544148,"{12859055, 7381770, 6183734, 12614519}",,,,,,,,,,
545406,"{26340629, 16460492, 17831037}",,,,,,,,,,
546347,{14810638},,,,,,,,,,
547088,{4139205},,,,,,,,,,
547713,"{33429817, 19229162}",,,,,,,,,,
548179,{27561087},,,,,,,,,,
548306,{12998449},,,,,,,,,,
551865,{9866917},,,,,,,,,,
552173,{34919150},,,,,,,,,,
553054,{11245263},,,,,,,,,,
553204,{18508828},,,,,,,,,,
555150,{21192653},,,,,,,,,,
561326,{625055},,,,,,,,,,
561393,{16207885},,,,,,,,,,
561597,{14462406},,,,,,,,,,
563081,{16571437},,,,,,,,,,
563397,{4973227},,,,,,,,,,
563658,"{26683920, 10814989}",,,,,,,,,,
563909,{9802857},,,,,,,,,,
565421,{21063861},,,,,,,,,,
566400,{36818265},,,,,,,,,,
568748,{21509015},,,,,,,,,,
569045,{1277842},,,,,,,,,,
570737,{35786308},,,,,,,,,,
570828,{8119521},,,,,,,,,,
573111,{20207839},,,,,,,,,,
573332,{30072597},,,,,,,,,,
574156,{24979452},,,,,,,,,,
575884,{30356720},,,,,,,,,,
576063,{540039},,,,,,,,,,
577115,{2833984},,,,,,,,,,
577254,{301247},,,,,,,,,,
578446,{6826957},,,,,,,,,,
578962,{241508},,,,,,,,,,
579157,{9320962},,,,,,,,,,
579656,{26464626},,,,,,,,,,
580663,{4969304},,,,,,,,,,
581240,"{9567575, 8038199}",,,,,,,,,,
582032,"{16411839, 6686851, 11267014, 7931127}",,,,,,,,,,
582782,{14790116},,,,,,,,,,
584488,{16686418},,,,,,,,,,
587021,{8897560},,,,,,,,,,
589164,"{29599048, 21227203}",,,,,,,,,,
589246,{24288828},,,,,,,,,,
589388,{30282012},,,,,,,,,,
589724,"{37139489, 3116909}",,,,,,,,,,
590685,{9834743},,,,,,,,,,
590741,{22492649},,,,,,,,,,
591280,{12703293},,,,,,,,,,
592093,{2833984},,,,,,,,,,
592630,{2532466},,,,,,,,,,
592999,{1678744},,,,,,,,,,
595288,{241508},,,,,,,,,,
595752,{4115899},,,,,,,,,,
595769,{24200675},,,,,,,,,,
596525,{5241732},,,,,,,,,,
597193,{5889741},,,,,,,,,,
597641,{26964529},,,,,,,,,,
597702,{16607454},,,,,,,,,,
599330,{15580911},,,,,,,,,,
